customer_id,last_purchase,snapshot_date,inactive_date_start,date_end_react,inactive_days,last_purchase_days,is_active,reactivated,marketing_consent,prev_snap_email,prev_snap_letter,prev_snap_sms,prev_snap_call,tot_campaign,inactive_email,inactive_letter,inactive_sms,inactive_call,inactive_tot_campaign,n_day_acq,quantity_sum,quantity_mean,net_sale_euro_sum,u_price_mean,net_sale_euro_bags,net_sale_euro_rtw,net_sale_euro_shoes,net_sale_euro_slg,net_sale_euro_textile,quantity_bags,quantity_rtw,quantity_shoes,quantity_slg,quantity_textile,gender,age,Africa,Asia,Europe,North America,South America,Oceania,Antarctica,continent
CUST_00211,2024-06-01,2024-10-01,2024-09-29,2024-10-30,31,151,1,True,1,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2,5,2.5,1160.99,330.53499999999997,0.0,494.43,0.0,666.56,0.0,0,1,0,4,0,F,37,1.0,0.0,0.0,0,0,0,0,Asia
CUST_00624,2024-06-02,2024-10-01,2024-09-30,2024-12-30,91,211,0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2.0,1458.08,729.04,0.0,0.0,0.0,0.0,1458.08,0,0,0,0,2,M,47,1.0,0.0,0.0,0,0,0,0,Asia
CUST_00689,2024-06-01,2024-10-01,2024-09-29,2024-12-17,79,199,1,True,1,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2,5,2.5,2422.41,561.9525,0.0,0.0,523.8,1898.61,0.0,0,0,3,2,0,M,29,1.0,0.0,0.0,0,0,0,0,Asia
CUST_00775,2024-06-02,2024-10-01,2024-09-30,2024-10-16,16,136,1,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,1.5,1803.9099999999999,796.49,421.86,1382.05,0.0,0.0,0.0,2,1,0,0,0,F,51,0.0,1.0,0.0,0,0,0,0,Europe
CUST_00857,2024-06-02,2024-10-01,2024-09-30,2024-12-30,91,211,0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2.0,489.29,244.645,0.0,0.0,489.29,0.0,0.0,0,0,2,0,0,F,21,1.0,0.0,0.0,0,0,0,0,Asia
CUST_01549,2024-06-02,2024-10-01,2024-09-30,2024-12-30,91,211,0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2.0,272.06,136.03,0.0,0.0,272.06,0.0,0.0,0,0,2,0,0,F,64,1.0,0.0,0.0,0,0,0,0,Asia
CUST_01860,2024-06-01,2024-10-01,2024-09-29,2024-10-11,12,132,1,True,1,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2,5,2.5,3030.8500000000004,833.4050000000001,0.0,1818.72,0.0,1212.13,0.0,0,4,0,1,0,F,31,0.0,1.0,0.0,0,0,0,0,Europe
CUST_01948,2024-06-01,2024-10-01,2024-09-29,2024-12-30,92,212,0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1781.29,1781.29,0.0,1781.29,0.0,0.0,0.0,0,1,0,0,0,M,57,0.0,1.0,0.0,0,0,0,0,Europe
CUST_01998,2024-06-02,2024-10-01,2024-09-30,2024-12-30,91,211,0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2.0,415.03,207.515,0.0,415.03,0.0,0.0,0.0,0,2,0,0,0,F,52,0.0,1.0,0.0,0,0,0,0,Europe
CUST_02185,2024-06-02,2024-10-01,2024-09-30,2024-12-30,91,211,0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,302.76,302.76,302.76,0.0,0.0,0.0,0.0,1,0,0,0,0,M,26,0.0,0.0,1.0,0,0,0,0,North America
CUST_02299,2024-06-02,2024-10-01,2024-09-30,2024-11-13,44,164,1,True,1,1.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2,6,3.0,1725.5800000000002,287.5966666666667,677.45,1048.13,0.0,0.0,0.0,3,3,0,0,0,F,44,1.0,0.0,0.0,0,0,0,0,Asia
CUST_02350,2024-06-02,2024-10-01,2024-09-30,2024-12-30,91,211,0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2.0,1285.34,642.67,0.0,0.0,0.0,1285.34,0.0,0,0,0,2,0,F,59,1.0,0.0,0.0,0,0,0,0,Asia
CUST_02389,2024-06-01,2024-10-01,2024-09-29,2024-11-29,61,181,1,True,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2,3,1.5,2146.3,931.38,0.0,0.0,0.0,567.08,1579.22,0,0,0,2,1,F,29,0.0,1.0,0.0,0,0,0,0,Europe
CUST_02391,2024-06-02,2024-10-01,2024-09-30,2024-12-28,89,209,1,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,3.0,2110.14,460.30999999999995,0.0,1572.34,0.0,0.0,537.8,0,2,0,0,4,M,64,0.0,1.0,0.0,0,0,0,0,Europe
CUST_02580,2024-06-02,2024-10-01,2024-09-30,2024-12-30,91,211,0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,3.0,1170.44,390.1466666666667,1170.44,0.0,0.0,0.0,0.0,3,0,0,0,0,M,28,0.0,0.0,1.0,0,0,0,0,North America
CUST_02934,2024-06-01,2024-10-01,2024-09-29,2024-12-30,92,212,0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2.0,784.29,392.145,0.0,0.0,0.0,0.0,784.29,0,0,0,0,2,F,44,0.0,0.0,1.0,0,0,0,0,North America
CUST_03132,2024-06-01,2024-10-01,2024-09-29,2024-11-13,45,165,1,True,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2,1.0,1914.6399999999999,957.3199999999999,1032.85,0.0,0.0,881.79,0.0,1,0,0,1,0,M,51,1.0,0.0,0.0,0,0,0,0,Asia
CUST_03232,2024-06-01,2024-10-01,2024-09-29,2024-12-30,92,212,0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2.0,401.13,200.565,0.0,0.0,401.13,0.0,0.0,0,0,2,0,0,Other,29,0.0,1.0,0.0,0,0,0,0,Europe
CUST_03392,2024-06-01,2024-10-01,2024-09-29,2024-10-07,8,128,1,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,2.5,2363.34,462.2125,819.87,1543.47,0.0,0.0,0.0,2,3,0,0,0,F,30,0.0,1.0,0.0,0,0,0,0,Europe
CUST_00078,2024-06-09,2024-10-08,2024-10-07,2025-01-06,91,211,0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1558.27,1558.27,1558.27,0.0,0.0,0.0,0.0,1,0,0,0,0,M,72,1.0,0.0,0.0,0,0,0,0,Asia
CUST_00211,2024-06-01,2024-10-08,2024-09-29,2024-10-30,31,151,1,True,1,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2,5,2.5,1160.99,330.53499999999997,0.0,494.43,0.0,666.56,0.0,0,1,0,4,0,F,37,1.0,0.0,0.0,0,0,0,0,Asia
CUST_00316,2024-06-04,2024-10-08,2024-10-02,2025-01-06,96,216,0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,3.0,657.32,219.10666666666668,0.0,0.0,0.0,0.0,657.32,0,0,0,0,3,F,39,0.0,1.0,0.0,0,0,0,0,Europe
CUST_00383,2024-06-07,2024-10-08,2024-10-05,2024-12-18,74,194,1,True,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,3,1.5,1337.63,445.96500000000003,0.0,0.0,0.0,891.4,446.23,0,0,0,2,1,M,55,1.0,0.0,0.0,0,0,0,0,Asia
CUST_00498,2024-06-04,2024-10-08,2024-10-02,2025-01-06,96,216,0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1978.45,1978.45,1978.45,0.0,0.0,0.0,0.0,1,0,0,0,0,F,24,0.0,1.0,0.0,0,0,0,0,Europe
CUST_00624,2024-06-02,2024-10-08,2024-09-30,2025-01-06,98,218,0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2.0,1458.08,729.04,0.0,0.0,0.0,0.0,1458.08,0,0,0,0,2,M,47,1.0,0.0,0.0,0,0,0,0,Asia
CUST_00680,2024-06-03,2024-10-08,2024-10-01,2025-01-06,97,217,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2.0,1846.56,923.28,1846.56,0.0,0.0,0.0,0.0,2,0,0,0,0,F,57,0.0,1.0,0.0,0,0,0,0,Europe
CUST_00689,2024-06-01,2024-10-08,2024-09-29,2024-12-17,79,199,1,True,1,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2,5,2.5,2422.41,561.9525,0.0,0.0,523.8,1898.61,0.0,0,0,3,2,0,M,29,1.0,0.0,0.0,0,0,0,0,Asia
CUST_00747,2024-06-04,2024-10-08,2024-10-02,2025-01-06,96,216,0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1002.44,1002.44,0.0,0.0,1002.44,0.0,0.0,0,0,1,0,0,F,72,0.0,0.0,1.0,0,0,0,0,North America
CUST_00775,2024-06-02,2024-10-08,2024-09-30,2024-10-16,16,136,1,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,1.5,1803.9099999999999,796.49,421.86,1382.05,0.0,0.0,0.0,2,1,0,0,0,F,51,0.0,1.0,0.0,0,0,0,0,Europe
CUST_00857,2024-06-02,2024-10-08,2024-09-30,2025-01-06,98,218,0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2.0,489.29,244.645,0.0,0.0,489.29,0.0,0.0,0,0,2,0,0,F,21,1.0,0.0,0.0,0,0,0,0,Asia
