customer_id,birth_year,gender,country,registration_date,is_active,marketing_consent
CUST_00001,1988,Other,CN,2024-08-02,1,1
CUST_00002,2001,M,US,2021-08-17,1,1
CUST_00003,1978,M,CN,2021-02-21,1,1
CUST_00004,1964,F,DE,2022-07-18,1,1
CUST_00005,1992,F,JP,2022-05-17,0,1
CUST_00006,1957,F,FR,2022-04-03,1,1
CUST_00007,1970,F,CN,2021-10-13,0,1
CUST_00008,1988,M,DE,2021-07-29,0,1
CUST_00009,1968,F,FR,2024-10-17,0,1
CUST_00010,1972,M,FR,2024-01-22,1,1
CUST_00011,1960,M,CN,2021-06-28,1,1
CUST_00012,1960,F,DE,2024-04-24,0,1
CUST_00013,1973,M,JP,2023-05-15,1,1
CUST_00014,2002,M,CN,2021-03-07,1,1
CUST_00015,1985,F,US,2021-03-03,1,1
CUST_00016,1989,M,FR,2021-07-11,1,1
CUST_00017,1973,F,CN,2022-03-24,0,1
CUST_00018,1952,M,FR,2022-04-22,1,1
CUST_00019,1971,F,DE,2023-11-01,0,1
CUST_00020,2002,M,IT,2024-05-17,1,1
CUST_00021,1951,M,CN,2021-02-24,1,0
CUST_00022,1973,Other,JP,2024-02-24,1,1
CUST_00023,1993,F,CN,2022-02-12,0,1
CUST_00024,1979,F,FR,2024-08-23,1,1
CUST_00025,1987,M,DE,2024-12-07,1,0
CUST_00026,1951,F,US,2024-01-22,0,1
CUST_00027,1970,F,JP,2023-05-10,1,1
CUST_00028,1982,F,DE,2022-03-28,1,1
CUST_00029,1961,F,CN,2023-07-09,0,1
CUST_00030,1971,M,US,2024-04-21,0,1
CUST_00031,1993,M,DE,2022-07-24,1,1
CUST_00032,1974,F,IT,2021-01-14,1,1
CUST_00033,1998,M,JP,2021-11-23,0,1
CUST_00034,1976,M,FR,2024-11-30,1,1
CUST_00035,1991,F,DE,2023-05-16,1,1
CUST_00036,1977,F,DE,2022-11-28,0,1
CUST_00037,1965,F,IT,2022-07-24,0,1
CUST_00038,1964,F,CN,2021-11-15,1,1
CUST_00039,1996,F,JP,2022-03-17,0,1
CUST_00040,2000,M,JP,2022-11-21,1,1
CUST_00041,1993,M,FR,2021-07-29,0,1
CUST_00042,2004,M,DE,2021-07-09,0,1
CUST_00043,2001,M,US,2023-02-18,0,1
CUST_00044,1952,F,DE,2021-07-18,1,1
CUST_00045,1986,M,FR,2023-01-06,0,1
CUST_00046,2000,M,DE,2022-12-06,1,1
CUST_00047,1956,M,IT,2024-05-21,1,0
CUST_00048,1970,M,DE,2022-06-26,1,0
CUST_00049,1958,M,DE,2021-03-30,1,1
CUST_00050,1988,M,US,2023-07-30,1,1
CUST_00051,1967,M,IT,2024-01-04,1,1
CUST_00052,1953,M,IT,2021-09-13,0,1
CUST_00053,1974,M,DE,2023-02-15,1,1
CUST_00054,1963,F,JP,2021-06-11,1,1
CUST_00055,1999,M,US,2024-02-05,1,1
CUST_00056,1958,M,DE,2022-08-24,1,1
CUST_00057,1975,F,DE,2024-07-11,1,1
CUST_00058,2002,M,FR,2024-06-20,0,1
CUST_00059,1951,F,FR,2023-01-11,1,1
CUST_00060,1969,F,JP,2024-03-28,0,1
CUST_00061,1977,M,US,2022-01-29,1,1
CUST_00062,1996,F,CN,2024-12-13,1,1
CUST_00063,1956,M,FR,2021-05-23,1,0
CUST_00064,1993,F,CN,2021-04-04,1,1
CUST_00065,1957,M,IT,2024-09-16,1,1
CUST_00066,1996,F,FR,2022-04-12,1,1
CUST_00067,1984,M,FR,2022-08-16,1,1
CUST_00068,1963,F,US,2021-06-13,1,1
CUST_00069,1966,F,JP,2022-04-22,1,1
CUST_00070,1985,M,CN,2021-07-26,0,1
CUST_00071,1999,M,FR,2023-02-18,1,1
CUST_00072,1989,F,FR,2022-07-24,1,1
CUST_00073,1953,F,US,2023-07-18,1,1
CUST_00074,1951,M,US,2024-07-25,1,1
CUST_00075,1955,F,JP,2023-01-18,1,1
CUST_00076,2003,Other,CN,2021-11-30,0,1
CUST_00077,1991,F,IT,2023-01-29,1,1
CUST_00078,1953,M,JP,2022-12-29,0,1
CUST_00079,2003,F,IT,2022-03-06,1,1
CUST_00080,1978,M,DE,2024-10-04,1,1
CUST_00081,1967,Other,FR,2022-07-01,0,1
CUST_00082,1975,F,CN,2024-12-08,1,1
CUST_00083,1993,M,JP,2024-10-31,0,0
CUST_00084,1983,F,FR,2024-08-20,1,1
CUST_00085,1959,M,CN,2021-05-27,1,1
CUST_00086,1985,Other,CN,2024-06-01,1,1
CUST_00087,1963,Other,CN,2024-07-24,0,0
CUST_00088,1980,F,FR,2021-12-17,1,1
CUST_00089,1997,M,JP,2023-12-30,1,1
CUST_00090,1964,F,US,2022-05-17,0,1
CUST_00091,1957,M,FR,2021-12-01,1,1
CUST_00092,1963,M,CN,2023-08-05,1,1
CUST_00093,1972,F,JP,2023-02-17,1,1
CUST_00094,1989,M,DE,2022-07-07,1,1
CUST_00095,1970,M,IT,2024-08-03,1,1
CUST_00096,1965,Other,CN,2024-11-10,1,0
CUST_00097,1994,M,DE,2024-02-15,1,1
CUST_00098,1967,M,US,2022-03-26,1,1
CUST_00099,1996,F,CN,2024-11-03,1,1
CUST_00100,2002,M,DE,2022-10-27,1,0
CUST_00101,1973,F,CN,2021-04-25,1,1
CUST_00102,1975,Other,FR,2022-04-15,1,1
CUST_00103,1974,F,JP,2021-03-07,1,1
CUST_00104,1994,F,DE,2022-10-09,1,1
CUST_00105,1990,M,JP,2023-04-02,0,0
CUST_00106,1978,M,FR,2022-07-03,1,1
CUST_00107,1964,F,FR,2021-05-16,1,1
CUST_00108,1994,F,JP,2022-03-09,1,1
CUST_00109,1950,F,DE,2024-03-07,1,1
CUST_00110,1974,M,JP,2022-10-07,1,1
CUST_00111,1956,M,JP,2022-03-12,1,1
CUST_00112,1958,M,IT,2024-09-04,1,1
CUST_00113,1973,F,DE,2023-10-20,1,1
CUST_00114,1950,M,IT,2023-03-22,1,1
CUST_00115,1993,F,CN,2024-08-09,1,1
CUST_00116,1957,F,JP,2023-07-29,0,1
CUST_00117,1973,M,CN,2021-10-20,0,1
CUST_00118,1960,F,DE,2022-06-27,1,1
CUST_00119,2000,M,JP,2021-10-13,1,1
CUST_00120,1966,F,CN,2022-05-21,0,1
CUST_00121,1957,F,US,2024-02-24,0,1
CUST_00122,1984,F,FR,2024-01-09,1,1
